"Kuntien avainluvut 1987-2024"

"Alue","Tiedot","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"KOKO MAA","Väkiluku",5487308,5503297,5513130,5517919,5525292,5533793,5548241,5563970,5603851,5635971
"Akaa","Väkiluku",17043,16923,16769,16611,16475,16391,16467,16473,16405,16387
"Alajärvi","Väkiluku",10006,9899,9831,9700,9562,9419,9311,9183,9113,9078
"Alavieska","Väkiluku",2687,2639,2610,2573,2519,2517,2491,2447,2437,2410
"Alavus","Väkiluku",12044,11907,11713,11544,11468,11332,11197,11102,10933,10780
"Asikkala","Väkiluku",8287,8323,8248,8149,8083,8059,8033,8014,7968,7889
"Askola","Väkiluku",5104,5046,4990,4958,4943,4878,4847,4763,4700,4651
"Aura","Väkiluku",3986,3984,3991,3984,3941,3959,3955,3965,3961,3966
"Brändö","Väkiluku",470,471,452,449,445,449,449,450,436,430
"Eckerö","Väkiluku",935,928,948,961,952,958,933,939,942,956
"Enonkoski","Väkiluku",1473,1453,1416,1405,1361,1369,1362,1341,1320,1288
"Enontekiö","Väkiluku",1861,1872,1893,1852,1838,1808,1789,1811,1771,1762
"Espoo","Väkiluku",269802,274583,279044,283632,289731,292796,297132,305274,314024,320931
"Eura","Väkiluku",12128,12004,11910,11748,11632,11483,11417,11276,11184,11084
"Eurajoki","Väkiluku",9287,9418,9521,9454,9402,9452,9334,9211,9143,9052
"Evijärvi","Väkiluku",2576,2535,2499,2473,2425,2408,2404,2346,2292,2272
"Finström","Väkiluku",2522,2594,2580,2588,2593,2603,2638,2588,2610,2617
"Forssa","Väkiluku",17422,17332,17185,17028,16901,16800,16573,16459,16469,16478
"Föglö","Väkiluku",554,561,532,534,531,526,501,504,509,502
"Geta","Väkiluku",500,499,495,514,496,511,505,507,509,514
"Haapajärvi","Väkiluku",7438,7332,7251,7147,7010,6896,6802,6687,6558,6492
"Haapavesi","Väkiluku",7167,7098,6970,6854,6758,6667,6613,6591,6473,6365
"Hailuoto","Väkiluku",993,994,967,974,959,949,950,960,948,927
"Halsua","Väkiluku",1225,1219,1171,1165,1127,1103,1083,1052,1013,985
"Hamina","Väkiluku",20851,20636,20493,20286,20111,19877,19702,19549,19534,19311
"Hammarland","Väkiluku",1537,1508,1547,1577,1583,1599,1619,1628,1646,1636
"Hankasalmi","Väkiluku",5240,5159,5019,4939,4875,4782,4683,4601,4549,4509
"Hanko","Väkiluku",8864,8663,8517,8379,8199,8042,7979,7832,7721,7702
"Harjavalta","Väkiluku",7296,7240,7151,7018,6931,6869,6785,6753,6703,6647
"Hartola","Väkiluku",2982,2924,2882,2780,2697,2655,2621,2574,2531,2482
"Hattula","Väkiluku",9747,9682,9610,9475,9422,9389,9405,9359,9371,9361
"Hausjärvi","Väkiluku",8729,8641,8504,8417,8260,8175,8143,8031,7998,7901
"Heinola","Väkiluku",19575,19350,19128,18889,18667,18497,18344,18131,17953,17829
"Heinävesi","Väkiluku",3574,3514,3455,3329,3254,3196,3136,3061,3001,2929
"Helsinki","Väkiluku",628208,635181,643272,648042,653835,656920,658457,664028,674500,684018
"Hirvensalmi","Väkiluku",2290,2274,2236,2152,2136,2156,2131,2091,2062,2059
"Hollola","Väkiluku",23915,23791,23782,23602,23410,23251,23090,22943,22885,22849
"Huittinen","Väkiluku",10473,10403,10207,10091,10044,9937,9870,9745,9646,9555
"Humppila","Väkiluku",2388,2345,2290,2235,2184,2174,2166,2161,2125,2094
"Hyrynsalmi","Väkiluku",2422,2406,2326,2287,2271,2199,2139,2094,2063,2002
"Hyvinkää","Väkiluku",46463,46596,46739,46504,46470,46576,46880,46797,46901,47031
"Hämeenkyrö","Väkiluku",10667,10681,10599,10510,10404,10344,10337,10257,10319,10348
"Hämeenlinna","Väkiluku",68011,67850,67662,67532,67633,67848,67971,68043,68319,68433
"Ii","Väkiluku",9663,9628,9966,9862,9844,9848,9912,9853,9766,9806
"Iisalmi","Väkiluku",21945,21767,21639,21472,21368,21124,20958,20801,20618,20463
"Iitti","Väkiluku",6910,6889,6820,6765,6711,6625,6559,6504,6444,6401
"Ikaalinen","Väkiluku",7207,7128,7119,7003,6942,6866,6877,6804,6850,6758
"Ilmajoki","Väkiluku",12159,12167,12205,12187,12269,12294,12366,12369,12343,12429
"Ilomantsi","Väkiluku",5336,5237,5128,4973,4857,4749,4643,4492,4406,4382
"Imatra","Väkiluku",27835,27517,27269,26932,26508,26075,25655,25208,24919,24724
"Inari","Väkiluku",6804,6825,6869,6930,6907,6862,7008,7047,7127,7224
"Inkoo","Väkiluku",5541,5585,5481,5403,5386,5321,5353,5384,5379,5402
"Isojoki","Väkiluku",2123,2079,2032,1976,1951,1925,1891,1852,1814,1794
"Isokyrö","Väkiluku",4785,4712,4673,4601,4522,4471,4480,4406,4357,4319
"Janakkala","Väkiluku",16853,16709,16607,16447,16413,16237,16340,16280,16123,16015
"Joensuu","Väkiluku",75514,75848,76067,76551,76850,76935,77261,77513,78062,78741
"Jokioinen","Väkiluku",5425,5341,5286,5195,5133,5061,5046,4990,4916,4848
"Jomala","Väkiluku",4648,4757,4859,5032,5233,5386,5512,5610,5697,5789
"Joroinen","Väkiluku",5110,5039,4917,4812,4767,4689,4624,4540,4590,4552
"Joutsa","Väkiluku",4688,4673,4567,4467,4377,4297,4263,4171,4079,4099
"Juuka","Väkiluku",5034,4938,4817,4709,4606,4527,4444,4352,4259,4160
"Juupajoki","Väkiluku",1988,1957,1904,1884,1844,1800,1786,1768,1708,1668
"Juva","Väkiluku",6548,6421,6334,6225,6116,5932,5887,5769,5734,5674
"Jyväskylä","Väkiluku",137368,138850,140188,141305,142400,143420,144473,145887,147746,149194
"Jämijärvi","Väkiluku",1948,1915,1867,1809,1739,1707,1685,1683,1682,1658
"Jämsä","Väkiluku",21542,21259,20877,20607,20182,19887,19767,19347,19182,19116
"Järvenpää","Väkiluku",40900,41529,42572,43410,43711,44455,45226,45630,46490,46871
"Kaarina","Väkiluku",32590,32738,33099,33458,33937,34667,35497,35848,36339,36551
"Kaavi","Väkiluku",3194,3154,3048,2990,2893,2807,2778,2689,2628,2589
"Kajaani","Väkiluku",37622,37521,37239,36973,36709,36567,36493,36297,36513,36433
"Kalajoki","Väkiluku",12621,12586,12516,12387,12373,12400,12412,12335,12372,12271
"Kangasala","Väkiluku",30607,31190,31437,31676,31868,32214,32622,32959,33473,33951
"Kangasniemi","Väkiluku",5628,5603,5549,5452,5356,5312,5230,5154,5114,5062
"Kankaanpää","Väkiluku",13562,13396,13292,13137,12906,12758,12662,12528,12394,12478
"Kannonkoski","Väkiluku",1462,1424,1408,1353,1339,1323,1311,1269,1217,1186
"Kannus","Väkiluku",5590,5578,5520,5502,5464,5426,5390,5352,5246,5264
"Karijoki","Väkiluku",1369,1349,1329,1274,1245,1207,1192,1200,1188,1159
"Karkkila","Väkiluku",8969,8911,8900,8778,8714,8696,8717,8603,8581,8440
"Karstula","Väkiluku",4268,4232,4146,4031,3949,3858,3774,3665,3625,3573
"Karvia","Väkiluku",2475,2449,2403,2390,2342,2322,2290,2240,2216,2170
"Kaskinen","Väkiluku",1285,1296,1274,1262,1246,1278,1289,1256,1208,1241
"Kauhajoki","Väkiluku",13875,13772,13610,13375,13184,13007,12890,12750,12618,12518
"Kauhava","Väkiluku",16784,16599,16278,16022,15726,15514,15312,15116,15165,15050
"Kauniainen","Väkiluku",9486,9397,9624,9615,9797,10178,10396,10284,10270,10253
"Kaustinen","Väkiluku",4305,4298,4309,4273,4261,4228,4196,4198,4137,4118
"Keitele","Väkiluku",2379,2346,2309,2244,2202,2155,2095,2029,2035,1985
"Kemi","Väkiluku",21758,21602,21256,21021,20707,20437,19982,19499,19371,19402
"Kemijärvi","Väkiluku",7766,7661,7534,7370,7274,7191,7105,6996,7030,6954
"Keminmaa","Väkiluku",8388,8316,8296,8147,8079,7984,7904,7771,7691,7604
"Kemiönsaari","Väkiluku",6909,6872,6793,6724,6640,6609,6614,6549,6462,6371
"Kempele","Väkiluku",17066,17297,17535,17923,18355,18796,19116,19300,19514,19657
"Kerava","Väkiluku",35293,35511,35554,36254,36756,37105,37232,37676,38211,38461
"Keuruu","Väkiluku",10117,9992,9919,9762,9605,9486,9443,9250,9184,9128
"Kihniö","Väkiluku",2038,1994,1967,1910,1865,1822,1808,1771,1749,1703
"Kinnula","Väkiluku",1745,1699,1656,1615,1620,1597,1581,1554,1523,1492
"Kirkkonummi","Väkiluku",38649,39033,39170,39262,39586,40082,40433,40722,41154,41635
"Kitee","Väkiluku",10832,10719,10486,10358,10136,9933,9877,9727,9689,9566
"Kittilä","Väkiluku",6416,6383,6421,6436,6453,6436,6523,6637,6822,6837
"Kiuruvesi","Väkiluku",8600,8444,8283,8153,7998,7854,7759,7597,7475,7354
"Kivijärvi","Väkiluku",1200,1161,1132,1103,1096,1107,1088,1064,1035,1011
"Kokemäki","Väkiluku",7591,7498,7381,7226,7103,7013,6951,6903,6766,6668
"Kokkola","Väkiluku",47570,47723,47723,47657,47681,47772,47909,48006,48295,48367
"Kolari","Väkiluku",3848,3827,3854,3834,3846,3925,3989,3999,4011,3987
"Konnevesi","Väkiluku",2757,2753,2748,2698,2627,2593,2586,2521,2499,2441
"Kontiolahti","Väkiluku",14827,14806,14830,14849,14821,14857,15035,15157,15136,15071
"Korsnäs","Väkiluku",2201,2171,2154,2122,2077,2068,2050,2024,2015,1986
"Koski Tl","Väkiluku",2399,2416,2359,2340,2308,2292,2271,2227,2207,2186
"Kotka","Väkiluku",54319,54187,53539,52883,52126,51668,51241,50617,50500,50210
"Kouvola","Väkiluku",85855,85306,84196,83177,82113,81187,80454,79429,78880,78386
"Kristiinankaupunki","Väkiluku",6793,6727,6638,6596,6486,6404,6380,6242,6199,6121
"Kruunupyy","Väkiluku",6682,6620,6531,6509,6428,6416,6442,6405,6368,6342
"Kuhmo","Väkiluku",8806,8647,8499,8329,8190,8042,7928,7755,7582,7483
"Kuhmoinen","Väkiluku",2334,2286,2252,2238,2206,2161,2158,2119,2092,2038
"Kumlinge","Väkiluku",317,308,314,315,314,307,313,306,290,273
"Kuopio","Väkiluku",116921,117740,118209,118664,119282,120210,121543,122594,124021,125666
"Kuortane","Väkiluku",3715,3690,3637,3572,3551,3534,3528,3437,3381,3335
"Kurikka","Väkiluku",21734,21501,21203,20952,20678,20456,20197,19890,19759,19509
"Kustavi","Väkiluku",895,908,923,926,949,962,971,950,949,970
"Kuusamo","Väkiluku",15688,15533,15386,15207,15134,15213,15165,15146,15019,14876
"Kyyjärvi","Väkiluku",1379,1375,1352,1343,1313,1288,1232,1196,1174,1155
"Kärkölä","Väkiluku",4604,4540,4508,4451,4368,4326,4245,4198,4114,4093
"Kärsämäki","Väkiluku",2658,2655,2611,2613,2576,2538,2533,2474,2440,2373
"Kökar","Väkiluku",250,246,236,236,232,225,224,223,225,227
"Lahti","Väkiluku",118743,119452,119573,119951,119823,119984,120027,120175,120693,121337
"Laihia","Väkiluku",8090,8139,8051,8058,8017,7996,7916,7817,7682,7656
"Laitila","Väkiluku",8520,8520,8610,8647,8588,8468,8456,8366,8441,8479
"Lapinjärvi","Väkiluku",2774,2739,2706,2665,2606,2621,2580,2518,2449,2429
"Lapinlahti","Väkiluku",9982,9882,9692,9617,9485,9358,9247,9099,8975,8865
"Lappajärvi","Väkiluku",3215,3176,3140,3078,2996,2925,2866,2820,2789,2758
"Lappeenranta","Väkiluku",72875,72872,72909,72699,72634,72662,72634,72650,72988,73327
"Lapua","Väkiluku",14609,14575,14494,14427,14278,14221,14203,14099,14024,14028
"Laukaa","Väkiluku",18865,18970,18978,18927,18903,18823,18788,18775,18762,18878
"Lemi","Väkiluku",3073,3076,3063,3043,2971,2964,2917,2886,2862,2849
"Lemland","Väkiluku",1991,2012,2028,2033,2053,2114,2135,2131,2127,2134
"Lempäälä","Väkiluku",22536,22745,22829,23206,23523,23828,24164,24580,24711,24854
"Leppävirta","Väkiluku",9953,9865,9782,9650,9454,9402,9280,9177,9049,8971
"Lestijärvi","Väkiluku",798,811,789,737,719,722,719,695,682,665
"Lieksa","Väkiluku",11772,11580,11297,11098,10884,10719,10543,10372,10228,10049
"Lieto","Väkiluku",19263,19418,19596,19831,19994,20146,20291,20497,20637,20666
"Liminka","Väkiluku",9937,10000,10133,10161,10191,10238,10218,10258,10256,10190
"Liperi","Väkiluku",12338,12301,12150,12145,12084,11994,11979,11962,11969,11913
"Lohja","Väkiluku",47353,47149,46785,46296,45965,45886,45988,45811,45645,45687
"Loimaa","Väkiluku",16467,16267,16150,16032,15875,15770,15628,15392,15420,15295
"Loppi","Väkiluku",8175,8098,8028,7861,7828,7853,7799,7749,7692,7657
"Loviisa","Väkiluku",15311,15208,15085,14891,14772,14745,14643,14568,14458,14352
"Luhanka","Väkiluku",761,756,734,707,690,699,703,692,702,711
"Lumijoki","Väkiluku",2076,2105,2081,2052,2020,2036,2018,1988,2033,2008
"Lumparland","Väkiluku",398,385,395,382,366,372,376,360,366,371
"Luoto","Väkiluku",5147,5176,5264,5340,5417,5534,5622,5732,5843,5884
"Luumäki","Väkiluku",4860,4831,4747,4662,4636,4543,4473,4421,4396,4358
"Maalahti","Väkiluku",5545,5517,5477,5477,5475,5451,5487,5479,5456,5415
"Maarianhamina - Mariehamn","Väkiluku",11461,11565,11677,11743,11679,11705,11742,11757,11812,11866
"Marttila","Väkiluku",2028,2021,1988,2018,2013,1999,1990,1978,1930,1910
"Masku","Väkiluku",9706,9675,9656,9554,9534,9543,9612,9642,9619,9592
"Merijärvi","Väkiluku",1134,1131,1119,1104,1089,1078,1076,1067,1055,1059
"Merikarvia","Väkiluku",3185,3169,3156,3115,3067,3066,3055,2967,2966,2904
"Miehikkälä","Väkiluku",2085,2034,1992,1940,1857,1868,1835,1791,1752,1703
"Mikkeli","Väkiluku",54665,54517,54261,53818,53134,52583,52122,51980,51919,51890
"Muhos","Väkiluku",9063,8995,9019,8980,8908,8903,8909,8882,8827,8749
"Multia","Väkiluku",1710,1663,1636,1584,1566,1558,1488,1477,1430,1393
"Muonio","Väkiluku",2358,2350,2332,2299,2308,2297,2321,2281,2325,2313
"Mustasaari","Väkiluku",19302,19380,19384,19444,19448,19453,19536,19662,19763,19738
"Muurame","Väkiluku",9791,9941,10097,10170,10164,10267,10426,10486,10551,10614
"Mynämäki","Väkiluku",7859,7842,7838,7766,7654,7645,7594,7539,7515,7477
"Myrskylä","Väkiluku",1969,1986,1969,1922,1882,1871,1816,1764,1715,1677
"Mäntsälä","Väkiluku",20685,20853,20803,20686,20721,20783,20837,20912,20957,20934
"Mänttä-Vilppula","Väkiluku",10604,10448,10256,9983,9855,9673,9563,9360,9271,9270
"Mäntyharju","Väkiluku",7976,7893,7793,7637,7481,7330,7279,7164,7099,7057
"Naantali","Väkiluku",18961,19068,19167,19245,19314,19427,19579,19850,19999,20129
"Nakkila","Väkiluku",5651,5548,5521,5437,5329,5256,5169,5072,4966,4939
"Nivala","Väkiluku",10876,10889,10815,10737,10639,10500,10396,10419,10454,10378
"Nokia","Väkiluku",33162,33210,33322,33527,33929,34476,34884,35346,35647,36176
"Nousiainen","Väkiluku",4859,4815,4813,4733,4715,4693,4689,4644,4695,4659
"Nurmes","Väkiluku",10320,10130,9983,9784,9552,9501,9423,9243,9130,8980
"Nurmijärvi","Väkiluku",41897,42010,42159,42665,42993,43663,44127,44458,44785,45048
"Närpiö","Väkiluku",9387,9439,9507,9471,9479,9558,9562,9584,9621,9554
"Orimattila","Väkiluku",16326,16279,16221,16091,16003,15882,15808,15735,15669,15651
"Oripää","Väkiluku",1377,1363,1382,1364,1329,1334,1337,1317,1315,1304
"Orivesi","Väkiluku",9408,9312,9285,9221,9158,9008,8978,8935,8839,8869
"Oulainen","Väkiluku",7610,7514,7472,7430,7288,7155,7102,7025,6978,6912
"Oulu","Väkiluku",198525,200526,201810,203567,205489,207327,209551,211848,214633,216152
"Outokumpu","Väkiluku",7139,7091,7003,6803,6688,6552,6506,6457,6409,6444
"Padasjoki","Väkiluku",3143,3073,3027,2963,2896,2861,2813,2750,2726,2676
"Paimio","Väkiluku",10620,10713,10730,10832,10850,10922,11041,11138,11236,11221
"Paltamo","Väkiluku",3488,3491,3435,3336,3273,3235,3183,3100,3037,2990
"Parainen","Väkiluku",15457,15398,15285,15217,15132,15105,15086,14991,14999,14868
"Parikkala","Väkiluku",5235,5126,4969,4842,4734,4655,4567,4438,4366,4300
"Parkano","Väkiluku",6766,6692,6562,6469,6404,6352,6286,6240,6123,6069
